titulo,descripcion,categoria
Iran warns it will retaliate if US attacks as protesters defy crackdown,Medics at two hospitals tell the BBC more than 100 bodies have been brought in over a two day period.,World
"Trump tells Cuba to 'make a deal, before it is too late'",Trump has been turning his attention to Cuba since US forces seized Venezuelan leader Nicolás Maduro.,World
Bride and groom killed by gas explosion day after Pakistan wedding,Eight people were killed after a gas cylinder exploded at a house the morning after the wedding celebration.,World
Sudan's government returns to capital after nearly 3 years of war,The military-backed government is back in Khartoum after being driven out by its paramilitary rival.,World
Thousands march and dozens arrested in Minneapolis protests against ICE,"Days after the death of Renee Good, protests continue in Minneapolis and cities across the US.",World
"Bob Weir, Grateful Dead co-founder, dies aged 78",Weir was a fixture in the psychedelic rock group and its various spin-offs over 60 years.,World
One person dead and 300 buildings destroyed in Australia bushfires,A state of emergency has been declared in Victoria as thousands of firefighters battle the blaze.,World
"US military strikes Islamic State group targets in Syria, officials say","US President Donald Trump ordered the ""large-scale strikes"" on Saturday, US Central Command announced.",World
Last Kurdish forces leave Aleppo after ceasefire deal reached,The deal was announced in the early hours of Sunday morning after a week of violent clashes.,World
Author Chimamanda Ngozi Adichie's family accuse hospital of negligence over son's death,A hospital in Lagos denies medical negligence over the death of Chimamanda Ngozi Adichie's 21-month-old.,World
Rare first Superman comic once stolen from Nicolas Cage sells for $15m,"Fewer than 100 copies of Action Comics No 1, which introduced the world to Superman, are thought to exist.",World
Rescuers race to find dozens missing in deadly Philippines landfill collapse,The landslide happened when a mountain of rubbish collapsed at a landfill site in the central Philippines.,World
'I had no electricity for six months': US families struggle with soaring energy prices,"Rising electricity costs have emerged as a key cost-of-living concern, pushing families further into debt.",World
Five hundred people in Canada were diagnosed with mystery brain disease. What if it isn't real?,A small Canadian province feared it had a mystery neurological illness on its hands. The search for answers set off a battle for the truth.,World
'Hermès of durian': The luxury fruit cashing in on China's billion-dollar appetite,"A former gold mining town in Malaysia has seen its riches turn a new shade of yellow, thanks to this pungent fruit.",World
'There wasn't even time for CPR': Iran medics describe hospitals overwhelmed with dead and injured protesters,"Hundreds of people are believed to have been killed or injured by the security forces, with more than 70 bodies brought to one hospital.",World
'Hounded and harassed': The former pop star taking on Uganda's long-time president,Bobi Wine - a former musician - has been arrested numerous times as he challenges President Yoweri Museveni.,World
'He's crazy': BBC speaks to Greenlanders about Trump's threats,The BBC's Europe Editor Katya Adler visits the Arctic island to ask what people think of the US president's plans.,World
Watch: Buildings in Tehran set on fire as demonstrations spread across Iran,"In video verified by BBC Persian, protesters in Iran can be heard chanting anti-government slogans.",World
Watch: Eyewitnesses recount deadly ICE shooting,Renee Good was fatally shot by an ICE agent in the Central neighbourhood of Minneapolis.,World
Video shows moment US immigration agent fatally shoots woman,A woman in a car was shot and killed by a US immigration officer on a residential street in Minnesota.,World
Tracking the oil tankers seized by the US,The US has announced the seizure of two oil tankers: the Marinera formerly known as the Bella 1 in the North Atlantic and the Sophia in international waters near the Caribbean.,World
Terms of Use,,World
Subscription Terms,,World
About the BBC,,World
Privacy Policy,,World
Accessibility Help,,World
Contact the BBC,,World
Advertise with us,,World
Do not share or sell my info,,World
BBC.com Help & FAQs,,World
Content Index,,World
The FTSE 100 has hit a record high. Is now the time to start investing?,"As the FTSE hits the 10,000 mark, the UK chancellor is encouraging more people to become investors - but is it the right time?",Business
Sign up to World of Business,"Gain the leading edge with global insights for the boardroom and beyond, in your inbox every Wednesday.",Business
"Trump seeks $100bn for Venezuela oil, but Exxon boss says country 'uninvestable'","Oil executives expressed caution, with one executive saying Venezuela had seized their assets twice.",Business
'Out of stock': What went wrong at luxury retailer Saks?,"Saks Global, which owns Saks Fifth Avenue and Neiman Marcus, is expected to imminently file for bankruptcy protection, leaving questions about the retailer's future.",Business
"Google employee made redundant after reporting manager who showed nude of wife, court hears",Victoria Woodall claims she was retaliated against after reporting a Google UK manager who told clients stories about his swinger lifestyle.,Business
LATEST AUDIO,,Business
Business Daily,,Business
WORLD OF BUSINESS,,Business
How tariff disruption will continue reshaping the global economy in 2026,Trump's import levies are still changing the patterns of international trade.,Business
