titulo,descripcion,categoria
Irán redobla la represión con las primeras ejecuciones por las protestas,"Amin Hossein Rahimi, ministro de Justicia de Irán, aclaró que «cualquiera que haya estado presente en las calles desde el 8 de enero en adelante es considerado definitivamente un criminal»",Internacional
"Erfan Soltani, el primer condenado a muerte por las protestas en Irán",La familia del joven desconoce los cargos de los que se le acusa y fue notificada hace cuatro días de la condena a muerte,Internacional
"Nickolay Mladenov, el 'virrey' del plan de paz para Gaza","El diplomático búlgaro, enviado de la ONU a Oriente Próximo entre 2015 y 2020, dirigirá la fase dos de la hoja de ruta diseñada por EE.UU. para la reconstrucción de la Franja",Internacional
Donald Trump pone precio a Groenlandia: 700.000 millones de dólares,"Es la primera estimación que, según 'NBC News', maneja la Administración Trump para la adquisición del territorio danés",Internacional
"Lars Lokke Rasmussen, el hábil negociador danés que plantará cara a Trump",Llega a Washington dispuesto a negociar acuerdos de defensa inscritos en el marco de la OTAN y a posibilitar y facilitar todo lo que Estados Unidos quiera hacer en materia militar en esta isla ártica,Internacional
La OTAN alerta sobre la creciente presencia militar rusa y china en el Ártico: «Allí no estudian las focas ni los osos polares»,El comandante supremo de las fuerzas de la OTAN en Europa asegura que Moscú y Pekín están realizando análisis batimétricos e intentando averiguar cómo contrarrestar las capacidades de la OTAN en y bajo el mar»,Internacional
La UE aprueba el paquete de 90.000 millones de euros de ayuda militar a Ucrania para los próximos dos años,"Del total, unos 60.000 millones están dedicados a la compra de material militar que deberá ser preferentemente de fabricación europea o ucraniana",Internacional
Investigan a la ex primera ministra ucraniana por soborno,La líder del partido opositor Batkivshchyna (Patria) está acusada de comprar votos a diputados de varias formaciones políticas para influir en las decisiones parlamentarias,Internacional
Cuando Alemania atacó Venezuela y reavivó la Doctrina Monroe de EE.UU.,"La política de Trump en América Latina, recogida en su Estrategia de Seguridad Nacional presentada en noviembre y aplicada en Honduras y Venezuela, recupera un instrumento usado por EE.UU. en los siglos XIX y XX al ver amenazada su hegemonía por las potencias europeas",Internacional
Trump anima las protestas en Irán: «La ayuda está en camino»,El presidente de EE.UU. anuncia que ha cancelado todas las reuniones con funcionarios iraníes,Internacional
"Trump, implacable en el extranjero, trata de ganar en el gran frente doméstico: el coste de la vida","El mandatario norteamericano ha anunciado todas sus propuestas para rebajar el coste de vida, algunas de corte progresista, que podrían firmar muchos demócratas",Internacional
Israel apoya la intervención de Trump en Irán frente al miedo de los vecinos a una escalada regional,Turquía y Qatar presionan para que Estados Unidos apueste por la vía diplomática,Internacional
"Argentina cierra 2025 con una inflación del 31,5%, la más baja en los últimos ocho años",Se trata de la menor inflación en el país sudamericano desde el año 2017,Internacional
Sheinbaum le dice a Trump que no habrá una intervención militar de EE.UU. en México para combatir a los cárteles,"La presidenta de México y su homólogo estadounidense, que exige más cooperación, mantienen una conversación telefónica para destensar la relación entre ambos países",Internacional
La oposición de Nicaragua celebra la liberación de 20 presos políticos tras la presión de Trump,El Mecanismo para el Reconocimiento de Personas Presas Políticas de Nicaragua denuncia las detenciones arbitrarias contra aquellos que celebraron la captura de Maduro el día 3,Internacional
Delcy Rodríguez destituye al jefe de seguridad presidencial tras la intervención militar de EE.UU.,"Al general Marcano se le atribuyen varias faltas consideradas graves, como presuntas comunicaciones con actores externos en los días previos a la intervención militar estadounidense",Internacional
El régimen cubano niega conversaciones con Estados Unidos para evitar una intervención,"Ante las amenazas de Trump y Rubio, el régimen moviliza de urgencia a los militares por miedo a un ataque similar al que Estados Unidos lanzó sobre Venezuela régimen los ha catalogado como «héroes» que murieron durante «un acto criminal de terrorismo de EE.UU.»",Internacional
Dinamarca teme una encerrona en la reunión con Rubio sobre Groenlandia,"Los diplomáticos daneses sospechan que acuda el vicepresidente de EE.UU., J. D. Vance, y protagonice un episodio como el que soportó Zelenski en la Casa Blanca, cuando le soltó frente a las cámaras una reprimenda por no ser agradecido ni respetuoso con Trump",Internacional
Los venezolanos ya no temen exigir la libertad de los presos políticos,"Mientras el Gobierno anuncia excarcelaciones a cuentagotas, la sociedad civil denuncia que más de mil reos siguen en las cárceles por oponerse al chavismo",Internacional
Detienen y acusan de traición a la patria a menores que celebraban en Venezuela la caída de Maduro,"Un patriota cooperante, como se autodenominan los delatores en la jerga del chavismo, realizó una llamada a alertando a las autoridades",Internacional
Venezuela endurece las restricciones a la prensa,Las limitaciones a los periodistas se han intensificado tras las caída de Maduro y al menos 24 reporteros siguen detenidos,Internacional
Madres de presos políticos en Venezuela: «¿Por qué no nos dicen dónde están?»,"Dos mujeres sostienen que sus hijos fueron detenidos en noviembre sin orden judicial y, desde entonces, desconocen su paradero",Internacional
La renta fija refuerza su protagonismo en un contexto de pertinaz incertidumbre,ESPECIAL RENTA FIJA,Internacional
El momento de la inversión activa en crédito global,ESPECIAL RENTA FIJA / CONTENIDO EXTERNO,Internacional
¿Qué es una cuenta de ahorro? Haz crecer tu dinero sin riesgos y con total flexibilidad,Encuentra las cuentas de ahorro con la mayor remuneración,Internacional
Mesa redonda de Safebrok en la Feria de Sevilla con los referentes en gestoría de fondos,SAFEBROK,Internacional
Leopoldo López dice que espera que salida de Maduro lleve a la democracia total en Venezuela,"Washington, 14 ene (EFE).- Leopoldo López, una de las caras más visibles de la oposición venezolana,...",Internacional
Dinamarca reforzó su presencia militar en la isla antes de la reunión con EE.UU.,"El primer ministro de Suecia anuncia la llegada de aviación militar de varios países a la isla, a petición de Copenhague",Internacional
"La primera ministra japonesa, Sanae Takaichi, disolverá el Parlamento para convocar elecciones anticipadas","Tomó el poder en octubre tras la dimisión de su antecesor y, según sus socios en el Gobierno, quiere aprovechar que goza de un apoyo público del 70% para adelantar los comicios y ampliar su ventaja en el Parlamento",Internacional
El Ejército sirio envía refuerzos a Alepo en medio de tensiones con los kurdosirios,"Alepo (Siria), 14 ene (EFE/EPA).- El Ejército sirio anunció el envío de decenas de vehículos militar...",Internacional
Siria envía a Alepo refuerzos de las tropas gubernamentales en medio de las tensiones con los kurdosirios,"Alepo (Siria), 14 ene (EFE/EPA).- El Ejército sirio anunció el envío de decenas de vehículos militar...",Internacional
¿Por qué el régimen de los ayatolás ha llegado a su final?,PEDRO RODRÍGUEZ,Internacional
Irán entierra a los policías muertos en las protestas mientras no ofrece datos de los civiles,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
"Leopoldo López, con la expectativa de la democratización total de Venezuela","Washington, 14 ene (EFE).- Leopoldo López, una de las caras más visibles de la oposición venezolana,...",Internacional
Una ONG cifra en al menos 3.428 los muertos en las protestas de Irán y más de 10.000 los detenidos,Los datos del grupo Iran Human Rights superan en más de un millar de fallecidos a las cifras oficiales,Internacional
El régimen chavista excarcela a catorce periodistas venezolanos,"El presidente del Parlamento de Venezuela, Jorge Rodríguez, anunció el pasado jueves un proceso de liberaciones de un «número importante» de personas",Internacional
Qatar confirma la evacuación de parte del personal de la base de EE.UU. por las «tensiones regionales» con Irán,"Al Udeid, situada a 190 km al sur de Irán, del otro lado del Golfo, es la mayor base de Estados Unidos en Oriente Medio",Internacional
Minerales y estrategia: por qué EE.UU. codicia una isla cubierta de hielo,"El presidente de EE.UU. sigue queriendo hacerse sea como sea con esta isla, cubierta de hielo en un 80% y con 2,16 millones de kilómetros cuadrados de superficie",Internacional
Bruselas propone que dos tercios de los 90.000 millones a Ucrania vayan a apoyo militar,"Bruselas, 14 ene (EFE).- La Comisión Europea propuso este miércoles que 60.000 millones de euros del...",Internacional
Leopoldo López espera que salida de Maduro lleve a la democratización total de Venezuela,"Washington, 14 ene (EFE).- Leopoldo López, una de las caras más visibles de la oposición venezolana,...",Internacional
Estados Unidos congela las concesiones de visado a ciudadanos de 75 países,"Entre ellos, se encuentran Somalia, Rusia, Irán, Afganistán, Brasil, Nigeria y Tailandia",Internacional
Estonia aboga por prohibir la entrada de veteranos de guerra rusos en su territorio: «Esto es solo el principio»,El Gobierno estonio es uno de los mayores defensores de las sanciones contra Rusia y busca que Europa siga su ejemplo,Internacional
Sindicato de la prensa de Venezuela informa de la excarcelación de varios periodistas,"Caracas, 14 ene (EFE).- El Sindicato Nacional de Trabajadores de la Prensa (SNTP) de Venezuela infor...",Internacional
Informe a cámara: Irán despide a los policías muertos en las protestas sin mencionar a los civiles,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Irán despide en funerales de Estado a los policías muertos sin mencionar a los civiles,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Registran el domicilio de una periodista de 'The Washington Post' por la presunta filtración de secretos de Estado en EE.UU.,"La profesional, que cubrió las medidas impulsadas por Trump, para despedir a miles de funcionarios, publicó en diciembre un reportaje al respecto",Internacional
Von der Leyen propone que dos tercios de los 90.000 millones a Ucrania vayan a apoyo militar,"Bruselas, 14 ene (EFE).- La Comisión Europea propuso este miércoles que 60.000 millones de euros del...",Internacional
Von der Leyen propone destinar 60.000 millones de euros del nuevo préstamo a Ucrania para gasto militar,"Bruselas, 14 ene (EFE).- La Comisión Europea propuso este miércoles que 60.000 millones de euros del...",Internacional
Irán asegura que el arsenal de misiles de Teherán ha aumentado desde junio,"Según el comandante aeroespacial, el nivel de preparación es el más alto para responder a cualquier ataque",Internacional
Salen a la luz imágenes de las protestas del 8 de enero en Teherán con gritos contra el régimen,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
"Última hora de la intervención de Estados Unidos en Venezuela, en directo: últimas noticias sobre Irán, Groenlandia y Trump hoy","Sigue en directo la última hora de la situación en Venezuela tras la captura de Maduro por parte de los Estados Unidos, con todas las noticias sobre Donald Trump y los movimientos en Irán y Groenlandia",Internacional
