titulo,descripcion,categoria,texto_completo,texto_limpio
Irán redobla la represión con las primeras ejecuciones por las protestas,"Amin Hossein Rahimi, ministro de Justicia de Irán, aclaró que «cualquiera que haya estado presente en las calles desde el 8 de enero en adelante es considerado definitivamente un criminal»",Internacional,"Irán redobla la represión con las primeras ejecuciones por las protestas Amin Hossein Rahimi, ministro de Justicia de Irán, aclaró que «cualquiera que haya estado presente en las calles desde el 8 de enero en adelante es considerado definitivamente un criminal»",iran redobla represion primeras ejecuciones protestas amin hossein rahimi ministro justicia iran aclaro cualquiera haya estado presente calles adelante considerado definitivamente criminal
"Erfan Soltani, el primer condenado a muerte por las protestas en Irán",La familia del joven desconoce los cargos de los que se le acusa y fue notificada hace cuatro días de la condena a muerte,Internacional,"Erfan Soltani, el primer condenado a muerte por las protestas en Irán La familia del joven desconoce los cargos de los que se le acusa y fue notificada hace cuatro días de la condena a muerte",erfan soltani primer condenado muerte protestas iran familia joven desconoce cargos acusa notificada dias condena muerte
"Nickolay Mladenov, el 'virrey' del plan de paz para Gaza","El diplomático búlgaro, enviado de la ONU a Oriente Próximo entre 2015 y 2020, dirigirá la fase dos de la hoja de ruta diseñada por EE.UU. para la reconstrucción de la Franja",Internacional,"Nickolay Mladenov, el 'virrey' del plan de paz para Gaza El diplomático búlgaro, enviado de la ONU a Oriente Próximo entre 2015 y 2020, dirigirá la fase dos de la hoja de ruta diseñada por EE.UU. para la reconstrucción de la Franja",nickolay mladenov virrey plan paz gaza diplomatico bulgaro enviado nacionesunidas oriente proximo dirigira fase hoja ruta disenada estadosunidos reconstruccion franja
Donald Trump pone precio a Groenlandia: 700.000 millones de dólares,"Es la primera estimación que, según 'NBC News', maneja la Administración Trump para la adquisición del territorio danés",Internacional,"Donald Trump pone precio a Groenlandia: 700.000 millones de dólares Es la primera estimación que, según 'NBC News', maneja la Administración Trump para la adquisición del territorio danés",donald trump pone precio groenlandia millones dolares primera estimacion segun nbc news maneja administracion trump adquisicion territorio danes
"Lars Lokke Rasmussen, el hábil negociador danés que plantará cara a Trump",Llega a Washington dispuesto a negociar acuerdos de defensa inscritos en el marco de la OTAN y a posibilitar y facilitar todo lo que Estados Unidos quiera hacer en materia militar en esta isla ártica,Internacional,"Lars Lokke Rasmussen, el hábil negociador danés que plantará cara a Trump Llega a Washington dispuesto a negociar acuerdos de defensa inscritos en el marco de la OTAN y a posibilitar y facilitar todo lo que Estados Unidos quiera hacer en materia militar en esta isla ártica",lars lokke rasmussen habil negociador danes plantara cara trump llega washington dispuesto negociar acuerdos defensa inscritos marco otan posibilitar facilitar estadosunidos quiera materia militar isla artica
La OTAN alerta sobre la creciente presencia militar rusa y china en el Ártico: «Allí no estudian las focas ni los osos polares»,El comandante supremo de las fuerzas de la OTAN en Europa asegura que Moscú y Pekín están realizando análisis batimétricos e intentando averiguar cómo contrarrestar las capacidades de la OTAN en y bajo el mar»,Internacional,La OTAN alerta sobre la creciente presencia militar rusa y china en el Ártico: «Allí no estudian las focas ni los osos polares» El comandante supremo de las fuerzas de la OTAN en Europa asegura que Moscú y Pekín están realizando análisis batimétricos e intentando averiguar cómo contrarrestar las capacidades de la OTAN en y bajo el mar»,otan alerta creciente presencia militar rusa china artico alli estudian focas osos polares comandante supremo fuerzas otan europa asegura moscu pekin estan realizando analisis batimetricos e intentando averiguar contrarrestar capacidades otan
La UE aprueba el paquete de 90.000 millones de euros de ayuda militar a Ucrania para los próximos dos años,"Del total, unos 60.000 millones están dedicados a la compra de material militar que deberá ser preferentemente de fabricación europea o ucraniana",Internacional,"La UE aprueba el paquete de 90.000 millones de euros de ayuda militar a Ucrania para los próximos dos años Del total, unos 60.000 millones están dedicados a la compra de material militar que deberá ser preferentemente de fabricación europea o ucraniana",unioneuropea aprueba paquete millones euros ayuda militar ucrania proximos anos total millones estan dedicados compra material militar debera preferentemente fabricacion europea ucraniana
Investigan a la ex primera ministra ucraniana por soborno,La líder del partido opositor Batkivshchyna (Patria) está acusada de comprar votos a diputados de varias formaciones políticas para influir en las decisiones parlamentarias,Internacional,Investigan a la ex primera ministra ucraniana por soborno La líder del partido opositor Batkivshchyna (Patria) está acusada de comprar votos a diputados de varias formaciones políticas para influir en las decisiones parlamentarias,investigan ex primera ministra ucraniana soborno lider partido opositor batkivshchyna patria acusada comprar votos diputados formaciones politicas influir decisiones parlamentarias
Cuando Alemania atacó Venezuela y reavivó la Doctrina Monroe de EE.UU.,"La política de Trump en América Latina, recogida en su Estrategia de Seguridad Nacional presentada en noviembre y aplicada en Honduras y Venezuela, recupera un instrumento usado por EE.UU. en los siglos XIX y XX al ver amenazada su hegemonía por las potencias europeas",Internacional,"Cuando Alemania atacó Venezuela y reavivó la Doctrina Monroe de EE.UU. La política de Trump en América Latina, recogida en su Estrategia de Seguridad Nacional presentada en noviembre y aplicada en Honduras y Venezuela, recupera un instrumento usado por EE.UU. en los siglos XIX y XX al ver amenazada su hegemonía por las potencias europeas",alemania ataco venezuela reavivo doctrina monroe estadosunidos politica trump america latina recogida estrategia seguridad nacional presentada aplicada honduras venezuela recupera instrumento usado estadosunidos siglos xix xx amenazada hegemonia potencias europeas
Trump anima las protestas en Irán: «La ayuda está en camino»,El presidente de EE.UU. anuncia que ha cancelado todas las reuniones con funcionarios iraníes,Internacional,Trump anima las protestas en Irán: «La ayuda está en camino» El presidente de EE.UU. anuncia que ha cancelado todas las reuniones con funcionarios iraníes,trump anima protestas iran ayuda camino presidente estadosunidos anuncia cancelado todas reuniones funcionarios iranies
