titulo,descripcion,categoria,texto_final
Could Oscar glory be next for Jessie Buckley and Hamnet?,Jessie Buckley is a hot favourite to become the fifth Irish actor to win an Oscar after winning a Golden Globe.,World,could oscar glory be next for jessie buckley and hamnet jessie buckley is a hot favourite to become the fifth irish actor to win an oscar after winning a golden globe
'They just kept killing': Eyewitnesses describe deadly crackdown in Iran,The BBC has received eyewitness accounts of security forces attacking anti-government protesters across Iran.,World,they just kept killing eyewitnesses describe deadly crackdown in iran the bbc has received eyewitness accounts of security forces attacking anti government protesters across iran
Prosecution expected in relation to Denis Donaldson death,"Irish Justice Minister Jim O'Callaghan met the family of Denis Donaldson, who was killed in 2006.",World,prosecution expected in relation to denis donaldson death irish justice minister jim o callaghan met the family of denis donaldson who was killed in
'Miracle baby' born in a tree above Mozambique floodwaters dies aged 25,Rosita Salvador Mabuiango's mother was sheltering for days before giving birth perched above the water.,World,miracle baby born in a tree above mozambique floodwaters dies aged rosita salvador mabuiango s mother was sheltering for days before giving birth perched above the water
Why are there protests in Iran and what has Trump said about US action?,"Hundreds of people are believed to have been killed, as days of large demonstrations threaten the regime. Here's what you need to know.",World,why are there protests in iran and what has trump said about us action hundreds of people are believed to have been killed as days of large demonstrations threaten the regime here s what you need to know
Mortuary videos show how deadly Iran crackdown has become,"BBC Verify has been examining disturbing footage from a mortuary in Tehran, showing scores of bodies. These images could hold clues about what’s happening inside Iran.",World,mortuary videos show how deadly iran crackdown has become bbc verify has been examining disturbing footage from a mortuary in tehran showing scores of bodies these images could hold clues about what s happening inside iran
Hungary grants asylum to Polish ex-justice minister,Granting asylum to a citizen of a fellow EU member goes against the spirit of EU standards.,World,hungary grants asylum to polish ex justice minister granting asylum to a citizen of a fellow eu member goes against the spirit of eu standards
Custody extended for owner of Swiss ski bar after deadly fire,"Jacques Moretti is being held as a potential flight risk, Swiss media reports say.",World,custody extended for owner of swiss ski bar after deadly fire jacques moretti is being held as a potential flight risk swiss media reports say
Referee and student among hundreds killed in Iran protests,"More than 500 people have been killed during anti-government protests, a US-based human rights group says.",World,referee and student among hundreds killed in iran protests more than people have been killed during anti government protests a us based human rights group says
What is ICE and what powers do its agents have to use force?,The immigration agency is under scrutiny following the fatal shooting of Minneapolis woman Renee Nicole Good.,World,what is ice and what powers do its agents have to use force the immigration agency is under scrutiny following the fatal shooting of minneapolis woman renee nicole good
